id,question,answer
1,"Wat is een automatisch horloge?","Een automatisch horloge is een horloge dat wordt opgewonden door de beweging van de pols van de drager. Het heeft geen batterij nodig en kan zichzelf opwinden door middel van een ingebouwd systeem dat de beweging van de pols omzet in energie."
2,"Wat is een chronograaf?","Een chronograaf is een horloge dat is uitgerust met een stopwatchfunctie. Hiermee kunt u de tijd meten in seconden, minuten en uren. Het heeft vaak extra wijzerplaten op de wijzerplaat om de stopwatchfunctie weer te geven."
3,"Wat is een perpetual calendar horloge?","Een perpetual calendar horloge is een horloge dat automatisch de datum, dag van de week, maand en schrikkeljaar bijhoudt. Het is ontworpen om nooit handmatig te hoeven worden aangepast tot het jaar 2100."
4,"Wat is een tourbillon?","Een tourbillon is een complex mechanisme in een horloge dat is ontworpen om de effecten van de zwaartekracht te compenseren. Het bestaat uit een draaiende kooi die het echappement en de balans van het horloge bevat, waardoor de effecten van zwaartekracht op deze componenten worden geminimaliseerd."
5,"Hoe werkt een horloge met kwartsuurwerk?","Een horloge met kwartsuurwerk gebruikt een kwartskristal om de tijd te meten. Het kristal trilt met een constante frequentie wanneer er een elektrische lading doorheen wordt gestuurd, en deze trillingen worden omgezet in de tijd die op de wijzerplaat wordt weergegeven."
6,"Wat is een duikhorloge?","Een duikhorloge is een horloge dat speciaal is ontworpen om onder water te worden gebruikt. Het is waterdicht tot op grote dieptes en heeft vaak een bezel die kan worden gedraaid om de duiktijd bij te houden."
7,"Wat is een moonphase horloge?","Een moonphase horloge is een horloge dat is uitgerust met een complicatie die de maanfase bijhoudt. Dit wordt meestal weergegeven op een klein schijfje op de wijzerplaat en kan worden gebruikt om de fasen van de maan te volgen."
8,"Wat is een flyback chronograaf?","Een flyback chronograaf is een speciaal type chronograaf dat een extra functie biedt om de stopwatch te resetten zonder dat u eerst op de stopknop hoeft te drukken om de chronograaf te stoppen. Met deze functie kunt u de stopwatch met één druk op de knop opnieuw starten."
9,"Wat is een coaxiaal uurwerk?","Een coaxiaal uurwerk is een ontwerp van George Daniels, waarbij de wrijving tussen de verschillende componenten van het uurwerk wordt verminderd door het gebruik van coaxiale ontsnappingswielen en pallets. Dit zorgt voor een betere nauwkeurigheid en langere onderhoudsintervallen."
10,"Wat is een GMT-horloge?","Een GMT-horloge is een horloge dat is uitgerust met een extra 24-uurswijzer waarmee u de tijd in verschillende tijdzones kunt lezen. Het is ontworpen voor reizigers en piloten."
11,"Wat is een helium escape valve?","Een helium escape valve is een kleine klep die in sommige duikhorloges is ingebouwd en die tijdens het decompressieproces helium uit het horloge laat ontsnappen dat tijdens het duiken is binnengekomen. Dit voorkomt dat het horloge beschadigd raakt tijdens het decompressieproces."
12,"Wat is een split-second chronograaf?","Een split-second chronograaf is een type chronograaf dat ook wel een rattrapante wordt genoemd. Hiermee kunt u twee afzonderlijke tijdsintervallen meten met één stopwatch, waarbij u de stopwatchfunctie tijdelijk kunt stoppen om een tweede tijdsinterval te meten, terwijl de eerste tijdsinterval nog steeds wordt bijgehouden."
13,"Wat is een decompressiebezel?","Een decompressiebezel is een bezel op een duikhorloge die kan worden gebruikt om de hoeveelheid tijd die nodig is voor decompressie aan te geven na een duik. Het heeft een schaal die begint bij 1 en loopt tot 60, en kan worden gebruikt om de tijd die nodig is voor decompressie te bepalen op basis van de duiktijd en de diepte."
14,"Wat is een micro-rotor?","Een micro-rotor is een klein, automatisch oplaadsysteem dat wordt gebruikt in sommige automatische horloges om de beweging van de pols van de drager om te zetten in energie om het horloge op te laden. Het is kleiner dan een conventionele rotor en kan worden gebruikt om een dunner uurwerk te creëren."
15,"Wat is een regulator?","Een regulator is een mechanisme dat wordt gebruikt om de nauwkeurigheid van een horloge te regelen. Het bestaat uit een kleine schroef die de lengte van de veer aanpast en daarmee de frequentie van de tikken van het horloge bepaalt. Het kan worden gebruikt om de nauwkeurigheid van het horloge aan te passen."
16,"Wat is een skeletuurwerk?","Een skeletuurwerk is een horloge waarbij het uurwerk is uitgehold, zodat de interne mechanismen van het horloge zichtbaar zijn. Het is een populair ontwerp dat de complexiteit van het uurwerk benadrukt en het een unieke uitstraling geeft."
17,"Wat is een coaxiale veer?","Een coaxiale veer is een onderdeel van een coaxiaal uurwerk dat is ontworpen om de wrijving tussen de componenten van het uurwerk te verminderen. Het bestaat uit drie delen: de kern, de wikkel en de terminal. Het gebruik van een coaxiale veer in plaats van een traditionele anker-anker-veer zorgt voor betere nauwkeurigheid en langere onderhoudsintervallen."
18,"Hoe werkt een horloge met een tourbillon?","Een horloge met een tourbillon gebruikt een complex mechanisme om de effecten van de zwaartekracht te compenseren en de nauwkeurigheid van het horloge te verbeteren. Het bestaat uit een kooi die om de balans en het echappement van het horloge draait, waardoor de effecten van de zwaartekracht op deze componenten worden verminderd. Dit maakt het horloge nauwkeuriger, omdat het de afwijkingen compenseert die worden veroorzaakt door de verschillende posities van het horloge tijdens het dragen."
19,"Wat is het verschil tussen een handmatig opwindbaar horloge en een automatisch horloge?","Een handmatig opwindbaar horloge moet regelmatig met de hand worden opgewonden om de veer in het uurwerk te spannen en het horloge van energie te voorzien. Een automatisch horloge heeft daarentegen een ingebouwd mechanisme dat de beweging van de pols omzet in energie om het horloge op te laden."
20,"Hoe waterdicht is een waterdicht horloge?","De mate van waterbestendigheid van een horloge wordt uitgedrukt in meters of atmosferen (ATM). Een horloge met een waterbestendigheid van 30 meter (3 ATM) kan bijvoorbeeld spatwater en regen weerstaan, terwijl een horloge met een waterbestendigheid van 200 meter geschikt is voor diepzeeduiken. Het is echter belangrijk op te merken dat de waterdichtheid van een horloge kan afnemen na verloop van tijd en dat het regelmatig moet worden onderhouden om zijn waterdichte eigenschappen te behouden."
21,"Wat is het verschil tussen een gangreserve en een power reserve?","Een gangreserve is een maat voor hoelang een mechanisch horloge kan blijven lopen nadat het volledig is opgewonden. Een power reserve is daarentegen een maat voor hoeveel energie er nog over is in een automatisch horloge. Beide metingen worden meestal weergegeven op de wijzerplaat van het horloge."
22,"Wat is een beweging met hoge frequentie?","Een beweging met hoge frequentie is een type uurwerk dat werkt met een trillingsfrequentie die hoger is dan de standaard 28.800 vibraties per uur. Sommige uurwerken hebben bijvoorbeeld een frequentie van 36.000 of 40.000 vibraties per uur, wat zorgt voor een grotere nauwkeurigheid en een soepeler lopende secondewijzer."
23,"Wat is een smartwatch?","Een smartwatch is een horloge dat is uitgerust met geavanceerde functies zoals een touchscreen, een gps-sensor, gezondheids- en fitness trackers en de mogelijkheid om verbinding te maken met internet en mobiele apparaten. Smartwatches zijn ontworpen om meer te bieden dan alleen de tijd, en bieden de gebruiker een breed scala aan functies."