naam,jaar,beschrijving,afbeelding
Oyster,1926,Het allereerste waterdichte horloge ter wereld. Het horloge was volledig waterdicht dankzij de speciale Oyster-behuizing en is nog steeds een van de meest herkenbare Rolex-modellen.,assets/images/brands/rolex/oyster.jpg
Prince,1928,Een horloge met een rechthoekige kast en een bijzondere vormgeving van de wijzerplaat.,assets/images/brands/rolex/prince.jpg
Bubbleback,1933,Een horloge met een automatisch uurwerk en een bolle achterkant. Dit horloge was een van de eerste die Rolex produceerde met een automatisch uurwerk.,assets/images/brands/rolex/bubbleback.jpg
Chronograph,1939,"Een horloge met een chronograaffunctie, waardoor het naast de tijdsaanduiding ook mogelijk is om korte tijdsintervallen te meten.",assets/images/brands/rolex/chronograph.jpg
Turn-O-Graph,1953,Het eerste horloge van Rolex met een draaibare lunette. Het horloge was oorspronkelijk bedoeld voor piloten en kon worden gebruikt om korte tijdsintervallen te meten.,assets/images/brands/rolex/turn-o-graph.jpg
Submariner,1953,Een horloge speciaal ontworpen voor duikers. Het horloge is waterdicht tot een diepte van 300 meter en heeft een roterende duikring die helpt bij het meten van de duiktijden.,assets/images/brands/rolex/submariner.jpg
Explorer,1953,Oorspronkelijk ontworpen voor bergbeklimmers en is bestand tegen extreme temperaturen en druk. Het horloge heeft een eenvoudig ontwerp en is verkrijgbaar in verschillende maten en materialen.,assets/images/brands/rolex/explorer.jpg
GMT-Master,1954,Oorspronkelijk ontworpen voor piloten en is voorzien van een 24-uurswijzer en een roterende bezel die helpt bij het instellen van de tijd in verschillende tijdzones.,assets/images/brands/rolex/gmt-master.jpg
Milgauss,1956,Een horloge ontworpen voor wetenschappers en heeft een antimagnetische kast die bestand is tegen magnetische velden tot 1000 gauss.,assets/images/brands/rolex/milgauss.jpg
Day-Date,1956,Een horloge dat de dag van de week weergeeft naast de datum. Het horloge wordt vaak aangeduid als de 'President' vanwege de populariteit onder presidenten en andere hoogwaardigheidsbekleders.,assets/images/brands/rolex/day-date.jpg
Lady-Datejust,1957,Een damesversie van de Datejust.,assets/images/brands/rolex/lady-datejust.jpg
Sea-Dweller,1967,Een horloge ontworpen voor diepzeeduikers en is waterdicht tot een diepte van 1220 meter. Het horloge is voorzien van een heliumventiel om te voorkomen dat het glas barst bij decompressie.,assets/images/brands/rolex/sea-dweller.jpg
Yacht-Master,1992,Een horloge ontworpen voor zeilers en heeft een roterende bezel die helpt bij het meten van de tijd tijdens het zeilen.,assets/images/brands/rolex/yacht-master.jpg
Daytona,1963,Een horloge oorspronkelijk ontworpen voor racers en heeft een chronograaffunctie en een tachymeter-schaal.,assets/images/brands/rolex/daytona.jpg
Air-King,1945,Een horloge ontworpen als eerbetoon aan de piloten van de British Royal Air Force die tijdens de Tweede Wereldoorlog vochten.,assets/images/brands/rolex/air-king.jpg
Cellini,1968,"Een horloge dat bekend staat om zijn elegante en klassieke ontwerp. Het horloge heeft geen speciale functies, maar is bedoeld als een dress watch en is verkrijgbaar in verschillende maten en materialen.",assets/images/brands/rolex/cellini.jpg
Pearlmaster,1992,Een horloge ontworpen voor dames en heeft een verfijnd en elegant ontwerp. Het horloge is voorzien van diamanten op de wijzerplaat en de lunette.,assets/images/brands/rolex/pearlmaster.jpg
Sky-Dweller,2012,Een horloge ontworpen voor reizigers en is voorzien van een GMT-functie en een jaarlijkse kalender. Het horloge heeft een innovatief ontwerp met een roterende Ring Command-lunette.,assets/images/brands/rolex/sky-dweller.jpg
Deepsea,2008,Een horloge dat waterdicht is tot een diepte van 3900 meter. Het horloge is ontworpen om de druk op grote diepten te weerstaan en is voorzien van een heliumventiel om te voorkomen dat het glas barst bij decompressie.,assets/images/brands/rolex/deepsea.jpg
Yacht-Master II,2007,Een horloge ontworpen voor regattazeilers en heeft een programmeerbare countdown-functie. Het horloge heeft een uniek ontwerp met een blauwe keramische Ring Command-lunette.,assets/images/brands/rolex/yacht-master-ii.jpg
Cosmograph Daytona,1963,Een horloge oorspronkelijk ontworpen voor racers en heeft een chronograaffunctie en een tachymeter-schaal.,assets/images/brands/rolex/cosmograph-daytona.jpg
Explorer II,1971,Een horloge ontworpen voor speleologen en poolreizigers en is voorzien van een 24-uurswijzer en een roterende bezel. Het horloge heeft een duidelijke afleesbaarheid in donkere omgevingen.,assets/images/brands/rolex/explorer-ii.jpg
GMT-Master II,1983,Een horloge met een 24-uurswijzer en een roterende bezel die helpt bij het instellen van de tijd in verschillende tijdzones. Het horloge heeft een klassiek ontwerp en is verkrijgbaar in verschillende maten en materialen.,assets/images/brands/rolex/gmt-master-ii.jpg
Milgauss II,2007,Een horloge ontworpen voor wetenschappers en heeft een antimagnetische kast die bestand is tegen magnetische velden tot 1000 gauss.,assets/images/brands/rolex/milgauss-ii.jpg
Day-Date II,2008,Een horloge dat de dag van de week weergeeft naast de datum. Het horloge wordt vaak aangeduid als de 'President' vanwege de populariteit onder presidenten en andere hoogwaardigheidsbekleders.,assets/images/brands/rolex/day-date-ii.jpg
Day-Date 40,2015,"Een vernieuwde versie van de Day-Date, met een grotere kast en een bijgewerkt uurwerk.",assets/images/brands/rolex/day-date-40.jpg
Yacht-Master 40,2015,"Een vernieuwde versie van de Yacht-Master, met een grotere kast en een bijgewerkt uurwerk.",assets/images/brands/rolex/yacht-master-40.jpg
Air-King 40,2016,"Een vernieuwde versie van de Air-King, met een grotere kast en een bijgewerkte wijzerplaat.",assets/images/brands/rolex/air-king-40.jpg